spell,rank,learned,cost_and_cooldown,forever_text,classic_status,classic_text,source,spell_id
Cleave,Rank 2,Learned at level 30,20 Rage; Next melee,A sweeping attack that does your weapon damage plus 10 to the target and a second nearby enemy.,changed,A sweeping attack that does your weapon damage plus 10 to the target and his nearest ally.,beta,7369
Cleave,Rank 3,Learned at level 40,20 Rage; Next melee,A sweeping attack that does your weapon damage plus 18 to the target and a second nearby enemy.,changed,A sweeping attack that does your weapon damage plus 18 to the target and his nearest ally.,beta,11608
Cleave,Rank 4,Learned at level 50,20 Rage; Next melee,A sweeping attack that does your weapon damage plus 32 to the target and a second nearby enemy.,changed,A sweeping attack that does your weapon damage plus 32 to the target and his nearest ally.,beta,11609
Cleave,Rank 5,Learned at level 60,20 Rage; Next melee,A sweeping attack that does your weapon damage plus 50 to the target and a second nearby enemy.,changed,A sweeping attack that does your weapon damage plus 50 to the target and his nearest ally.,beta,20569
Death Wish,,Learned at level 1,10 Rage; Instant; 3 min cooldown,"When activated, increases your Physical damage done by 20% and makes you immune to Fear effects, but increases all damage you take by 5%. Lasts 30 sec.",changed,"When activated, increases your physical damage by 20% and makes you immune to Fear effects, but lowers your armor and all resistances by 20%. Lasts 30 sec.",beta,12328
Demoralizing Shout,Rank 1,Learned at level 14,10 Rage; Instant,Reduces the melee attack power of all enemies within 10 yards by 62 for 45 sec.,changed,Reduces the melee attack power of all enemies within 10 yards by 45 for 30 sec.,beta,1160
Demoralizing Shout,Rank 2,Learned at level 24,10 Rage; Instant,Reduces the melee attack power of all enemies within 10 yards by 90 for 45 sec.,changed,Reduces the melee attack power of all enemies within 10 yards by 65 for 30 sec.,beta,6190
Demoralizing Shout,Rank 3,Learned at level 34,10 Rage; Instant,Reduces the melee attack power of all enemies within 10 yards by 111 for 45 sec.,changed,Reduces the melee attack power of all enemies within 10 yards by 80 for 30 sec.,beta,11554
Demoralizing Shout,Rank 4,Learned at level 44,10 Rage; Instant,Reduces the melee attack power of all enemies within 10 yards by 160 for 45 sec.,changed,Reduces the melee attack power of all enemies within 10 yards by 115 for 30 sec.,beta,11555
Demoralizing Shout,Rank 5,Learned at level 54,10 Rage; Instant,Reduces the melee attack power of all enemies within 10 yards by 204 for 45 sec.,changed,Reduces the melee attack power of all enemies within 10 yards by 146 for 30 sec.,beta,11556
Execute,Rank 1,Learned at level 24,"15 Rage; Melee Range; Instant; Requires Battle Stance, Berserker Stance","Attempt to finish off a wounded foe, causing 125 damage and converting each extra point of rage into 3 additional damage. Only usable on enemies that have 20% or less health.",same,,beta,5308
Execute,Rank 2,Learned at level 32,"15 Rage; Melee Range; Instant; Requires Battle Stance, Berserker Stance","Attempt to finish off a wounded foe, causing 200 damage and converting each extra point of rage into 6 additional damage. Only usable on enemies that have 20% or less health.",same,,beta,20658
Execute,Rank 3,Learned at level 40,"15 Rage; Melee Range; Instant; Requires Battle Stance, Berserker Stance","Attempt to finish off a wounded foe, causing 325 damage and converting each extra point of rage into 9 additional damage. Only usable on enemies that have 20% or less health.",same,,beta,20660
Execute,Rank 4,Learned at level 48,"15 Rage; Melee Range; Instant; Requires Battle Stance, Berserker Stance","Attempt to finish off a wounded foe, causing 450 damage and converting each extra point of rage into 12 additional damage. Only usable on enemies that have 20% or less health.",same,,beta,20661
Execute,Rank 5,Learned at level 56,"15 Rage; Melee Range; Instant; Requires Battle Stance, Berserker Stance","Attempt to finish off a wounded foe, causing 600 damage and converting each extra point of rage into 15 additional damage. Only usable on enemies that have 20% or less health.",same,,beta,20662
Intercept,Rank 1,Learned at level 30,10 Rage; 8-25 yd range; Instant; 30 sec cooldown; Requires Berserker Stance,"Charge an enemy, causing 25 damage and stunning it for 3 sec.",same,,beta,20252
Intercept,Rank 2,Learned at level 42,10 Rage; 8-25 yd range; Instant; 30 sec cooldown; Requires Berserker Stance,"Charge an enemy, causing 45 damage and stunning it for 3 sec.",same,,beta,20616
Intercept,Rank 3,Learned at level 52,10 Rage; 8-25 yd range; Instant; 30 sec cooldown; Requires Berserker Stance,"Charge an enemy, causing 65 damage and stunning it for 3 sec.",same,,beta,20617
Intimidating Shout,,Learned at level 22,25 Rage; 10 yd range; Instant; 3 min cooldown,"The warrior shouts, causing the targeted enemy to cower in fear. Up to 5 total nearby enemies will flee in fear. Lasts 8 sec.",same,,beta,5246
Piercing Howl,,Learned at level 20,10 Rage; Instant,"Causes all nearby enemies to be Dazed, reducing movement speed by 50% for 6 sec.",changed,"Causes all enemies near the warrior to be dazed, reducing movement speed by 50% for 6 sec.",beta,12323
Pummel,Rank 1,Learned at level 38,10 Rage; Melee Range; Instant; 10 sec cooldown; Requires Berserker Stance,Pummel the target for 20 damage. It also interrupts spellcasting and prevents any spell in that school from being cast for 4 sec.,same,,beta,6552
Pummel,Rank 2,Learned at level 58,10 Rage; Melee Range; Instant; 10 sec cooldown; Requires Berserker Stance,Pummel the target for 50 damage. It also interrupts spellcasting and prevents any spell in that school from being cast for 4 sec.,same,,beta,6554
Recklessness,,Learned at level 50,Instant; 30 min cooldown; Requires Berserker Stance,"The warrior will gain 100% increased critical strike chance and will be immune to Fear effects for the next 15 sec, but all damage taken is increased by 20%.",changed,"The warrior will cause critical hits with most attacks and will be immune to Fear effects for the next 15 sec, but all damage taken is increased by 20%.",beta,1719
Slam,Rank 1,Learned at level 20,15 Rage; Melee Range; 1.5 sec cast; 15 sec cooldown,"Slams the opponent, causing weapon damage plus 16.",changed,"Slams the opponent, causing weapon damage plus 32.",beta,1240193
Slam,Rank 2,Learned at level 30,15 Rage; Melee Range; 1.5 sec cast; 15 sec cooldown,"Slams the opponent, causing weapon damage plus 32.",changed,,beta,1464
Slam,Rank 3,Learned at level 38,15 Rage; Melee Range; 1.5 sec cast; 15 sec cooldown,"Slams the opponent, causing weapon damage plus 43.",changed,,beta,8820
Slam,Rank 4,Learned at level 46,15 Rage; Melee Range; 1.5 sec cast; 15 sec cooldown,"Slams the opponent, causing weapon damage plus 68.",changed,,beta,11604
Slam,Rank 5,Learned at level 54,15 Rage; Melee Range; 1.5 sec cast; 15 sec cooldown,"Slams the opponent, causing weapon damage plus 87.",changed,,beta,11605
Whirlwind,,Learned at level 36,25 Rage; Instant; 10 sec cooldown; Requires Berserker Stance,"In a whirlwind of steel you attack up to 4 enemies within 8 yards, causing weapon damage to each enemy.",same,,beta,1680
Bloodrage,,Learned at level 10,Instant; 1 min cooldown,"Generates 10 rage at the cost of health, and then generates an additional 10 rage over 10 sec. The warrior is considered in combat for the duration.",same,,beta,2687
Concussion Blow,,Learned at level 30,10 Rage; Melee Range; Instant; 45 sec cooldown,Stuns the target for 5 sec.,changed,Stuns the opponent for 5 sec.,beta,12809
Defensive Stance,,Learned at level 10,Instant; 1 sec cooldown,A defensive combat stance. Decreases damage taken by 10% and damage caused by 10%. Increases all threat generated by 30%.,changed,A defensive combat stance. Decreases damage taken by 10% and damage caused by 10%. Increases threat generated.,beta,71
Disarm,,Learned at level 18,20 Rage; Melee Range; Instant; 1 min cooldown; Requires Defensive Stance,Disarm the enemy's weapon for 10 sec.,same,,beta,676
Last Stand,,Learned at level 1,Instant; 3 min cooldown,"When activated, this ability temporarily grants you 30% of your maximum health for 20 sec. After the effect expires, the health is lost.",changed,"When activated, this ability temporarily grants you 30% of your maximum hit points for 20 seconds. After the effect expires, the hit points are lost.",beta,12975
Revenge,Rank 1,Learned at level 14,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Defensive Stance,"Instantly counterattack an enemy for 20 to 24 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",changed,"Instantly counterattack an enemy for 12 to 14 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",beta,6572
Revenge,Rank 2,Learned at level 24,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Defensive Stance,"Instantly counterattack an enemy for 31 to 37 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",changed,"Instantly counterattack an enemy for 18 to 22 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",beta,6574
Revenge,Rank 3,Learned at level 34,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Defensive Stance,"Instantly counterattack an enemy for 43 to 53 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",changed,"Instantly counterattack an enemy for 25 to 31 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",beta,7379
Revenge,Rank 4,Learned at level 44,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Defensive Stance,"Instantly counterattack an enemy for 73 to 91 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",changed,"Instantly counterattack an enemy for 43 to 53 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",beta,11600
Revenge,Rank 5,Learned at level 54,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Defensive Stance,"Instantly counterattack an enemy for 109 to 133 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",changed,"Instantly counterattack an enemy for 64 to 78 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",beta,11601
Revenge,Rank 6,Learned at level 60,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Defensive Stance,"Instantly counterattack an enemy for 138 to 168 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",changed,"Instantly counterattack an enemy for 81 to 99 damage and a high amount of threat. Revenge must follow a block, dodge or parry.",beta,25288
Shield Bash,Rank 1,Learned at level 12,"10 Rage; Melee Range; Instant; 12 sec cooldown; Requires Battle Stance, Defensive Stance",Bashes the target with your shield for 6 damage. It also interrupts spellcasting and prevents any spell in that school from being cast for 6 sec.,same,,beta,72
Shield Bash,Rank 2,Learned at level 32,"10 Rage; Melee Range; Instant; 12 sec cooldown; Requires Battle Stance, Defensive Stance",Bashes the target with your shield for 18 damage. It also interrupts spellcasting and prevents any spell in that school from being cast for 6 sec.,same,,beta,1671
Shield Bash,Rank 3,Learned at level 52,"10 Rage; Melee Range; Instant; 12 sec cooldown; Requires Battle Stance, Defensive Stance",Bashes the target with your shield for 45 damage. It also interrupts spellcasting and prevents any spell in that school from being cast for 6 sec.,same,,beta,1672
Shield Block,,Learned at level 16,10 Rage; Instant; 5 sec cooldown; Requires Defensive Stance,"Increases chance to block by 75% for 7 sec, but will only block 2 attacks.",changed,"Increases chance to block by 75% for 5 sec, but will only block 1 attack.",beta,2565
Shield Slam,Rank 1,Learned at level 40,20 Rage; Melee Range; Instant; 6 sec cooldown,"Slam the target with your shield, causing 421 to 439 damage, increased by your Block Value, and has a 50% chance of dispelling 1 magic effect on the target. Causes a very high amount of threat.",changed,"Slam the target with your shield, causing 225 to 235 damage, modified by your shield block value, and has a 50% chance of dispelling 1 magic effect on the target. Also causes a high amount of threat.",beta,23922
Shield Slam,Rank 2,Learned at level 48,20 Rage; Melee Range; Instant; 6 sec cooldown,"Slam the target with your shield, causing 494 to 516 damage, increased by your Block Value, and has a 50% chance of dispelling 1 magic effect on the target. Causes a very high amount of threat.",changed,"Slam the target with your shield, causing 264 to 276 damage, modified by your shield block value, and has a 50% chance of dispelling 1 magic effect on the target. Also causes a high amount of threat.",beta,23923
Shield Slam,Rank 3,Learned at level 54,20 Rage; Melee Range; Instant; 6 sec cooldown,"Slam the target with your shield, causing 567 to 593 damage, increased by your Block Value, and has a 50% chance of dispelling 1 magic effect on the target. Causes a very high amount of threat.",changed,"Slam the target with your shield, causing 303 to 317 damage, modified by your shield block value, and has a 50% chance of dispelling 1 magic effect on the target. Also causes a high amount of threat.",beta,23924
Shield Slam,Rank 4,Learned at level 60,20 Rage; Melee Range; Instant; 6 sec cooldown,"Slam the target with your shield, causing 640 to 670 damage, increased by your Block Value, and has a 50% chance of dispelling 1 magic effect on the target. Causes a very high amount of threat.",changed,"Slam the target with your shield, causing 342 to 358 damage, modified by your shield block value, and has a 50% chance of dispelling 1 magic effect on the target. Also causes a high amount of threat.",beta,23925
Shield Wall,,Learned at level 28,Instant; 15 min cooldown; Requires Defensive Stance,Reduces the damage taken from all attacks by 60% for 12 sec.,changed,"Reduces the damage taken from melee attacks, ranged attacks and spells by 75% for 10 sec.",beta,871
Sunder Armor,Rank 1,Learned at level 10,15 Rage; Melee Range; Instant,"Sunders the target's armor, reducing it by 90 per Sunder Armor and causes a high amount of threat. Can be applied up to 5 times. Lasts 30 sec.",same,,beta,7386
Sunder Armor,Rank 2,Learned at level 22,15 Rage; Melee Range; Instant,"Sunders the target's armor, reducing it by 180 per Sunder Armor and causes a high amount of threat. Can be applied up to 5 times. Lasts 30 sec.",same,,beta,7405
Sunder Armor,Rank 3,Learned at level 34,15 Rage; Melee Range; Instant,"Sunders the target's armor, reducing it by 270 per Sunder Armor and causes a high amount of threat. Can be applied up to 5 times. Lasts 30 sec.",same,,beta,8380
Sunder Armor,Rank 4,Learned at level 46,15 Rage; Melee Range; Instant,"Sunders the target's armor, reducing it by 360 per Sunder Armor and causes a high amount of threat. Can be applied up to 5 times. Lasts 30 sec.",same,,beta,11596
