tree,talent,rank,text,confirmed
Arms,Weaponmaster,3,"Gives your melee weapon attacks a benefit depending on the weapon.

 Axe/Polearm: Increases your
 critical strike chance by 3%.

 Mace/Staff: Your attacks ignore
 9% of your target's armor.

 Sword: Your successful melee 
 attacks have a 3% chance to 
 trigger an extra attack on the 
 target.",True
Arms,Weaponmaster,4,"Gives your melee weapon attacks a benefit depending on the weapon.

 Axe/Polearm: Increases your
 critical strike chance by 4%.

 Mace/Staff: Your attacks ignore
 12% of your target's armor.

 Sword: Your successful melee 
 attacks have a 4% chance to 
 trigger an extra attack on the 
 target.",True
Arms,Weaponmaster,5,"Gives your melee weapon attacks a benefit depending on the weapon.

 Axe/Polearm: Increases your
 critical strike chance by 5%.

 Mace/Staff: Your attacks ignore
 15% of your target's armor.

 Sword: Your successful melee 
 attacks have a 5% chance to 
 trigger an extra attack on the 
 target.",True
Arms,Improved Slam,1,"Reduces the global cooldown and cast time of your Slam ability by 0.25 sec. In addition, Slam no longer interrupts your melee swing time.",True
Arms,Improved Slam,2,"Reduces the global cooldown and cast time of your Slam ability by 0.50 sec. In addition, Slam no longer interrupts your melee swing time.",True
Arms,Improved Hamstring,1,Gives your Hamstring ability a 5% chance to immobilize the target for 5 sec.,True
Arms,Improved Hamstring,2,Gives your Hamstring ability a 10% chance to immobilize the target for 5 sec.,True
Arms,Improved Hamstring,3,Gives your Hamstring ability a 15% chance to immobilize the target for 5 sec.,True
Arms,Mortal Strike,1,"A vicious strike that deals weapon damage plus 85 and wounds the target, reducing the effectiveness of any healing by 50% for 10 sec.",True
Fury,Booming Voice,1,Increases the radius of your Battle Shout and Demoralizing Shout abilities by 10%.,True
Fury,Booming Voice,2,Increases the radius of your Battle Shout and Demoralizing Shout abilities by 20%.,True
Fury,Booming Voice,3,Increases the radius of your Battle Shout and Demoralizing Shout abilities by 30%.,True
Fury,Booming Voice,4,Increases the radius of your Battle Shout and Demoralizing Shout abilities by 40%.,True
Fury,Booming Voice,5,Increases the radius of your Battle Shout and Demoralizing Shout abilities by 50%.,True
Fury,Cruelty,1,Improves your chance to get a critical strike with melee attacks by 1%.,True
Fury,Cruelty,2,Improves your chance to get a critical strike with melee attacks by 2%.,True
Fury,Cruelty,3,Improves your chance to get a critical strike with melee attacks by 3%.,True
Fury,Cruelty,4,Improves your chance to get a critical strike with melee attacks by 4%.,True
Fury,Cruelty,5,Improves your chance to get a critical strike with melee attacks by 5%.,True
Fury,Iron Will,1,Reduces the duration of Stun and Fear effects inflicted on you by 3%.,True
Fury,Iron Will,2,Reduces the duration of Stun and Fear effects inflicted on you by 6%.,True
Fury,Iron Will,3,Reduces the duration of Stun and Fear effects inflicted on you by 9%.,True
Fury,Iron Will,4,Reduces the duration of Stun and Fear effects inflicted on you by 12%.,True
Fury,Iron Will,5,Reduces the duration of Stun and Fear effects inflicted on you by 15%.,True
Fury,Unbridled Wrath,1,Gives you a 12% chance to generate 1 additional Rage when you deal melee damage with a weapon. This effect is increased to 2 Rage for two-handed weapons.,True
Fury,Unbridled Wrath,2,Gives you a 24% chance to generate 1 additional Rage when you deal melee damage with a weapon. This effect is increased to 2 Rage for two-handed weapons.,True
Fury,Unbridled Wrath,3,Gives you a 36% chance to generate 1 additional Rage when you deal melee damage with a weapon. This effect is increased to 2 Rage for two-handed weapons.,True
Fury,Unbridled Wrath,4,Gives you a 48% chance to generate 1 additional Rage when you deal melee damage with a weapon. This effect is increased to 2 Rage for two-handed weapons.,True
Fury,Unbridled Wrath,5,Gives you a 60% chance to generate 1 additional Rage when you deal melee damage with a weapon. This effect is increased to 2 Rage for two-handed weapons.,True
Fury,Improved Cleave,1,Reduces the Rage cost of your Cleave ability by 1.,True
Fury,Improved Cleave,2,Reduces the Rage cost of your Cleave ability by 2.,True
Fury,Improved Cleave,3,Reduces the Rage cost of your Cleave ability by 3.,True
Fury,Piercing Howl,1,"Causes all nearby enemies to be Dazed, reducing movement speed by 50% for 6 sec.",True
Fury,Blood Craze,1,"Regenerates 1% of your total Health over 6 sec after being the victim of a critical strike, dealing damage with Bloodthirst, or suffering more than 20% of your maximum Health from a single attack.",True
Fury,Blood Craze,2,"Regenerates 2% of your total Health over 6 sec after being the victim of a critical strike, dealing damage with Bloodthirst, or suffering more than 20% of your maximum Health from a single attack.",True
Fury,Blood Craze,3,"Regenerates 3% of your total Health over 6 sec after being the victim of a critical strike, dealing damage with Bloodthirst, or suffering more than 20% of your maximum Health from a single attack.",True
Fury,Boundless Rage,1,Increases your maximum Rage by 10.,True
Fury,Boundless Rage,2,Increases your maximum Rage by 20.,True
Fury,Boundless Rage,3,Increases your maximum Rage by 30.,True
Fury,Dual Wield Specialization,1,"Increases your off-hand weapon damage by 5%, off-hand Rage generation by 20%, and chance to hit with off-hand attacks by 2%.",True
Fury,Dual Wield Specialization,2,"Increases your off-hand weapon damage by 10%, off-hand Rage generation by 40%, and chance to hit with off-hand attacks by 4%.",True
Fury,Dual Wield Specialization,3,"Increases your off-hand weapon damage by 15%, off-hand Rage generation by 60%, and chance to hit with off-hand attacks by 6%.",True
Fury,Dual Wield Specialization,4,"Increases your off-hand weapon damage by 20%, off-hand Rage generation by 80%, and chance to hit with off-hand attacks by 8%.",True
Fury,Dual Wield Specialization,5,"Increases your off-hand weapon damage by 25%, off-hand Rage generation by 100%, and chance to hit with off-hand attacks by 10%.",True
Fury,Raging Blows,1,"Causes your Whirlwind to also strike with your off-hand weapon, and reduces the Rage cost of your Cleave ability by 2.",True
Fury,Enrage,1,Gives you a 30% chance to deal 2% increased Physical damage for 12 sec after being the victim of any damaging attack.,True
Fury,Enrage,2,Gives you a 30% chance to deal 4% increased Physical damage for 12 sec after being the victim of any damaging attack.,True
Fury,Enrage,3,Gives you a 30% chance to deal 6% increased Physical damage for 12 sec after being the victim of any damaging attack.,True
Fury,Enrage,4,Gives you a 30% chance to deal 8% increased Physical damage for 12 sec after being the victim of any damaging attack.,True
Fury,Enrage,5,Gives you a 30% chance to deal 10% increased Physical damage for 12 sec after being the victim of any damaging attack.,True
Fury,Improved Execute,1,Reduces the Rage cost of your Execute ability by 3.,True
Fury,Improved Execute,2,Reduces the Rage cost of your Execute ability by 5.,True
Fury,Precision,1,Improves your chance to hit by 1%.,True
Fury,Precision,2,Improves your chance to hit by 2%.,True
Fury,Precision,3,Improves your chance to hit by 3%.,True
Fury,Death Wish,1,"When activated, increases your Physical damage done by 20% and makes you immune to Fear effects, but increases all damage you take by 5%. Lasts 30 sec.",True
Fury,Improved Intercept,1,Reduces the cooldown of your Intercept ability by 5 sec.,True
Fury,Improved Intercept,2,Reduces the cooldown of your Intercept ability by 10 sec.,True
Fury,Improved Berserker Rage,1,Your Berserker Rage ability will instantly generate 5 Rage and has a 50% chance to remove all movement impairing effects when activated.,True
Fury,Improved Berserker Rage,2,Your Berserker Rage ability will instantly generate 10 Rage and has a 100% chance to remove all movement impairing effects when activated.,True
Fury,Flurry,1,Increases your melee attack speed by 5% for your next 3 swings after dealing a melee critical strike.,True
Fury,Flurry,2,Increases your melee attack speed by 10% for your next 3 swings after dealing a melee critical strike.,True
Fury,Flurry,3,Increases your melee attack speed by 15% for your next 3 swings after dealing a melee critical strike.,True
Fury,Flurry,4,Increases your melee attack speed by 20% for your next 3 swings after dealing a melee critical strike.,True
Fury,Flurry,5,Increases your melee attack speed by 25% for your next 3 swings after dealing a melee critical strike.,True
Fury,Bloodthirst,1,Instantly attack the target causing damage equal to 35% of your Attack Power plus 30 and increasing your movement speed by 10% for 10 sec.,True
Protection,Shield Specialization,1,Increases your chance to Block attacks with your shield by 1% and grants you a 20% chance to generate 5 Rage when you Block.,True
Protection,Shield Specialization,2,Increases your chance to Block attacks with your shield by 2% and grants you a 40% chance to generate 5 Rage when you Block.,True
Protection,Shield Specialization,3,Increases your chance to Block attacks with your shield by 3% and grants you a 60% chance to generate 5 Rage when you Block.,True
Protection,Shield Specialization,4,Increases your chance to Block attacks with your shield by 4% and grants you a 80% chance to generate 5 Rage when you Block.,True
Protection,Shield Specialization,5,Increases your chance to Block attacks with your shield by 5% and grants you a 100% chance to generate 5 Rage when you Block.,True
Protection,Anticipation,1,Increases your Defense Skill by 4.,True
Protection,Anticipation,2,Increases your Defense Skill by 8.,True
Protection,Anticipation,3,Increases your Defense Skill by 12.,True
Protection,Anticipation,4,Increases your Defense Skill by 16.,True
Protection,Anticipation,5,Increases your Defense Skill by 20.,True
Protection,Improved Bloodrage,1,Increases all the Rage generated by your Bloodrage ability by 25%.,True
Protection,Improved Bloodrage,2,Increases all the Rage generated by your Bloodrage ability by 50%.,True
Protection,Toughness,1,Increases your Armor value from items by 2%.,True
Protection,Toughness,2,Increases your Armor value from items by 4%.,True
Protection,Toughness,3,Increases your Armor value from items by 6%.,True
Protection,Toughness,4,Increases your Armor value from items by 8%.,True
Protection,Toughness,5,Increases your Armor value from items by 10%.,True
Protection,Improved Thunder Clap,1,Reduces the Rage cost of your Thunder Clap ability by 2.,True
Protection,Improved Thunder Clap,2,Reduces the Rage cost of your Thunder Clap ability by 4.,True
Protection,Improved Thunder Clap,3,Reduces the Rage cost of your Thunder Clap ability by 6.,True
Protection,Last Stand,1,"When activated, this ability temporarily grants you 30% of your maximum health for 20 sec. After the effect expires, the health is lost.",True
Protection,Master of Defense,1,Grants you a 50% chance to generate 5 Rage when you Dodge or Parry while a shield is equipped.,True
Protection,Master of Defense,2,Grants you a 100% chance to generate 5 Rage when you Dodge or Parry while a shield is equipped.,True
Protection,Improved Revenge,1,Increases damage dealt by your Revenge ability by 20%.,True
Protection,Improved Revenge,2,Increases damage dealt by your Revenge ability by 40%.,True
Protection,Improved Revenge,3,Increases damage dealt by your Revenge ability by 60%.,True
Protection,Defiance,1,Increases all threat generated in Defensive stance by an additional 5% while a shield is equipped.,True
Protection,Defiance,2,Increases all threat generated in Defensive stance by an additional 10% while a shield is equipped.,True
Protection,Defiance,3,Increases all threat generated in Defensive stance by an additional 15% while a shield is equipped.,True
Protection,Improved Sunder Armor,1,Reduces the Rage cost of your Sunder Armor ability by 1.,True
Protection,Improved Sunder Armor,2,Reduces the Rage cost of your Sunder Armor ability by 2.,True
Protection,Improved Sunder Armor,3,Reduces the Rage cost of your Sunder Armor ability by 3.,True
Protection,Improved Disarm,1,Reduces the cooldown of your Disarm ability by 7 secs.,True
Protection,Improved Disarm,2,Reduces the cooldown of your Disarm ability by 13 secs.,True
Protection,Improved Disarm,3,Reduces the cooldown of your Disarm ability by 20 secs.,True
Protection,Vanguard,1,Your Charge ability is now usable while in Defensive Stance.,True
Protection,Improved Shield Wall,1,Reduces the cooldown of your Shield Wall ability by 5.5 min.,True
Protection,Improved Shield Wall,2,Reduces the cooldown of your Shield Wall ability by 11 min.,True
Protection,Concussion Blow,1,Stuns the target for 5 sec.,True
Protection,Improved Shield Bash,1,Gives your Shield Bash ability a 50% chance to Silence the target for 3 sec.,True
Protection,Improved Shield Bash,2,Gives your Shield Bash ability a 100% chance to Silence the target for 3 sec.,True
Protection,Bastion,1,Increases all damage you deal by 2% while a shield is equipped.,True
Protection,Bastion,2,Increases all damage you deal by 4% while a shield is equipped.,True
Protection,Bastion,3,Increases all damage you deal by 6% while a shield is equipped.,True
Protection,Bastion,4,Increases all damage you deal by 8% while a shield is equipped.,True
Protection,Bastion,5,Increases all damage you deal by 10% while a shield is equipped.,True
Protection,Focused Rage,1,Reduces the Rage cost of your offensive abilities by 1.,True
Protection,Focused Rage,2,Reduces the Rage cost of your offensive abilities by 2.,True
Protection,Focused Rage,3,Reduces the Rage cost of your offensive abilities by 3.,True
Protection,Shield Slam,1,"Slam the target with your shield, causing 421 to 439 damage, increased by your Block Value, and has a 50% chance of dispelling 1 magic effect on the target. Causes a very high amount of threat.",True
