tree,talent,row,col,max_rank,classic_status,classic_tree,classic_max_rank,forever_max_rank_text,classic_rank1_text,ranks_confirmed,source
Fury,Improved Intercept,5,4,2,same,Fury,2,Reduces the cooldown of your Intercept ability by 10 sec.,Reduces the cooldown of your Intercept ability by 5 sec.,1 2,beta
Fury,Improved Berserker Rage,6,1,2,changed,Fury,2,Your Berserker Rage ability will instantly generate 10 Rage and has a 100% chance to remove all movement impairing effects when activated.,The Berserker Rage ability will generate 5 rage when used.,1 2,beta
Fury,Flurry,6,3,5,changed,Fury,5,Increases your melee attack speed by 25% for your next 3 swings after dealing a melee critical strike.,Increases your attack speed by 10% for your next 3 swings after dealing a melee critical strike.,1 2 3 4 5,beta
Fury,Bloodthirst,7,2,1,changed,Fury,1,Instantly attack the target causing damage equal to 35% of your Attack Power plus 30 and increasing your movement speed by 10% for 10 sec.,"Instantly attack the target causing damage equal to 45% of your attack power. In addition, the next 5 successful melee attacks will restore 10 health. This effect lasts 8 sec.",1,beta
Protection,Shield Specialization,1,2,5,changed,Protection,5,Increases your chance to Block attacks with your shield by 5% and grants you a 100% chance to generate 5 Rage when you Block.,Increases your chance to block attacks with a shield by 1% and has a 20% chance to generate 1 rage when a block occurs.,1 2 3 4 5,beta
Protection,Anticipation,1,3,5,changed,Protection,5,Increases your Defense Skill by 20.,Increases your Defense skill by 2.,1 2 3 4 5,beta
Protection,Improved Bloodrage,2,1,2,changed,Protection,2,Increases all the Rage generated by your Bloodrage ability by 50%.,Increases the instant Rage generated by your Bloodrage ability by 2.,1 2,beta
Protection,Toughness,2,3,5,same,Protection,5,Increases your Armor value from items by 10%.,Increases your armor value from items by 2%.,1 2 3 4 5,beta
Protection,Improved Thunder Clap,2,4,3,changed,Arms,3,Reduces the Rage cost of your Thunder Clap ability by 6.,Reduces the cost of your Thunder Clap ability by 1 rage point.,1 2 3,beta
Protection,Last Stand,3,1,1,changed,Protection,1,"When activated, this ability temporarily grants you 30% of your maximum health for 20 sec. After the effect expires, the health is lost.","When activated, this ability temporarily grants you 30% of your maximum hit points for 20 seconds. After the effect expires, the hit points are lost.",1,beta
Protection,Master of Defense,3,2,2,new,,,Grants you a 100% chance to generate 5 Rage when you Dodge or Parry while a shield is equipped.,,1 2,beta
Protection,Improved Revenge,3,3,3,changed,Protection,3,Increases damage dealt by your Revenge ability by 60%.,Gives your Revenge ability a 15% chance to stun the target for 3 sec.,1 2 3,beta
Protection,Defiance,3,4,3,changed,Protection,5,Increases all threat generated in Defensive stance by an additional 15% while a shield is equipped.,Increases the threat generated by your attacks by 3% while in Defensive Stance.,1 2 3,beta
Protection,Improved Sunder Armor,4,1,3,changed,Protection,3,Reduces the Rage cost of your Sunder Armor ability by 3.,Reduces the cost of your Sunder Armor ability by 1 rage point.,1 2 3,beta
Protection,Improved Disarm,4,2,3,changed,Protection,3,Reduces the cooldown of your Disarm ability by 20 secs.,Increases the duration of your Disarm ability by 1 secs.,1 2 3,beta
Protection,Vanguard,4,3,1,new,,,Your Charge ability is now usable while in Defensive Stance.,,1,beta
Protection,Improved Shield Wall,5,1,2,changed,Protection,2,Reduces the cooldown of your Shield Wall ability by 11 min.,Increases the effect duration of your Shield Wall ability by 3 secs.,1 2,beta
Protection,Concussion Blow,5,2,1,changed,Protection,1,Stuns the target for 5 sec.,Stuns the opponent for 5 sec.,1,beta
Protection,Improved Shield Bash,5,3,2,same,Protection,2,Gives your Shield Bash ability a 100% chance to Silence the target for 3 sec.,Gives your Shield Bash ability a 50% chance to silence the target for 3 sec.,1 2,beta
Protection,Bastion,5,4,5,new,,,Increases all damage you deal by 10% while a shield is equipped.,,1 2 3 4 5,beta
Protection,Focused Rage,6,3,3,new,,,Reduces the Rage cost of your offensive abilities by 3.,,1 2 3,beta
Protection,Shield Slam,7,2,1,changed,Protection,1,"Slam the target with your shield, causing 421 to 439 damage, increased by your Block Value, and has a 50% chance of dispelling 1 magic effect on the target. Causes a very high amount of threat.","Slam the target with your shield, causing 225 to 235 damage, modified by your shield block value, and has a 50% chance of dispelling 1 magic effect on the target. Also causes a high amount of threat.",1,beta
